key,instantiation-moment,heading,abstract$,start-day,last-day,price,link
offer-01,2021/03/12 00:00,Esto es para ver hasta setenta y cinco palabras de limite como restriccion,Esto es una prueba para llegar a las noventa y nueve palabras en esta asignatura llamada dp dos sol,2021/03/12 00:00,2021/03/13 00:00,EUR 18.72,null
offer-02,2021/03/12 00:00,Esto es para ver hasta setenta y cinco palabras de limite como restriccion,Esto es una prueba para llegar a las noventa y nueve palabras en esta asignatura llamada dp dos sol,2021/03/11 00:00,2021/03/12 00:00,EUR 18.72,null
offer-03,2021/03/12 00:00,Esto es para ver hasta setenta y cinco palabras de limite como restriccion,Esto es una prueba para llegar a las noventa y nueve palabras en esta asignatura llamada dp dos sol,2021/03/12 00:00,2021/03/13 00:00,EUR 18.72,null
offer-04,2021/03/12 00:00,Esto es para ver hasta setenta y cinco palabras de limite como restriccions,Esto es una prueba para llegar a las noventa y nueve palabras en esta asignatura llamada dp dos sol,2021/05/20 00:00,2021/06/12 00:00,EUR 18.72,null
offer-05,2021/03/12 00:00,Esto es para ver hasta setenta y cinco palabras de limite como restriccion,Esto es una prueba para llegar a las noventa y nueve palabras en esta asignatura llamada dp dos sole,2022/05/28 08:51,2022/05/29 08:51,EUR 18.72,null
offer-06,2021/03/12 00:00,Esto es para ver hasta setenta y cinco palabras de limite como restriccion,Esto es una prueba para llegar a las noventa y nueve palabras en esta asignatura llamada dp dos sol,2018/09/13 15:38,2018/09/14 15:38,EUR 1.72,null
offer-07,2021/03/12 00:00,Esto es para ver hasta setenta y cinco palabras de limite como restriccions,Esto es una prueba para llegar a las noventa y nueve palabras en esta asignatura llamada dp dos sole,2019/04/13 03:14,2019/04/14 03:14,EUR 2.58,null
offer-08,2021/03/12 00:00,Esto es para ver hasta setenta y cinco palabras de limite como restriccion,Esto es una prueba para llegar a las noventa y nueve palabras en esta asignatura llamada dp dos sol,2016/01/07 12:01,2016/01/08 12:01,EUR 9.72,https://ev.us.es
offer-09,2021/03/12 00:00,Esto es para ver hasta setenta y cinco palabras de limite como restriccion,Esto es una prueba para llegar a las noventa y nueve palabras en esta asignatura llamada dp dos sole,2022/05/27 08:51,2022/05/28 08:51,EUR 8.72,http://conn3ct-acme.es
offer-10,2021/03/12 00:00,Esto es para ver hasta setenta y cinco palabras de limite como restriccions,Esto es una prueba para llegar a las noventa y nueve palabras en esta asignatura llamada dp dos sol,2022/05/26 08:51,2022/05/29 08:51,EUR 1.72,http://google.com
